
	     TANUM	TAPOS	VLTYP	VLENR	NLTYP	NLENR	       CONFIRMED_AT
	7000000015	 0026			LMWE	00000000000014260115	20.151.201.222.655
	7000000015	 0027			LMWE	00000000000014260116	20.151.201.222.655
	7000000015	 0028			LMWE	00000000000014260117	20.151.201.222.655
	7000000015	 0029			LMWE	00000000000014260118	20.151.201.222.655
	7000000015	 0030			LMWE	00000000000014260119	20.151.201.222.655
	7000000015	 0031			LMWE	00000000000014260120	20.151.201.222.655
	7000000015	 0032			LMWE	00000000000014260121	20.151.201.222.655
	7000000015	 0033			LMWE	00000000000014260122	20.151.201.222.655
	7000000015	 0034			LMWE	00000000000014260123	20.151.201.222.655
	7000000015	 0035			LMWE	00000000000014260124	20.151.201.222.655
	7000000015	 0036			LMWE	00000000000014260125	20.151.201.222.655
	7000000015	 0037			LMWE	00000000000014260126	20.151.201.222.655
	7000000016	 0001		00000000001000000271			20.151.202.024.444
	7000000016	 0002		00000000001000000272			20.151.202.024.444
	7000000016	 0003		00000000001000000273			20.151.202.024.444
	7000000016	 0004		00000000001000000274			20.151.202.024.444
	7000000016	 0005		00000000001000000275			20.151.202.024.444
	7000000016	 0006		00000000001000000276			20.151.202.024.444
	7000000016	 0007		00000000001000000279			20.151.202.024.444
	7000000016	 0008		00000000001000000280			20.151.202.024.444
	7000000016	 0009		00000000001000000282			20.151.202.024.444
	7000000016	 0010		00000000001000000284			20.151.202.024.444
	7000000016	 0011		00000000001000000286			20.151.202.024.444
	7000000016	 0012		00000000001000000287			20.151.202.024.444
	7000000016	 0013		00000000001000000294			20.151.202.024.444
	7000000017	 0001			LMWE	00000000000014276883	20.151.202.062.124
	7000000017	 0002			LMWE	00000000000014276884	20.151.202.062.124
	7000000017	 0003			LMWE	00000000000014276885	20.151.202.062.124
	7000000017	 0004			LMWE	00000000000014276886	20.151.202.062.124
	7000000017	 0005			LMWE	00000000000014276887	20.151.202.062.124
	7000000017	 0006			LMWE	00000000000014276888	20.151.202.062.124
	7000000017	 0007			LMWE	00000000000014276889	20.151.202.062.124
	7000000017	 0008			LMWE	00000000000014276890	20.151.202.062.124
	7000000017	 0009			LMWE	00000000000014276891	20.151.202.062.124
	7000000017	 0010			LMWE	00000000000014276892	20.151.202.062.124
	7000000017	 0011			LMWE	00000000000014276893	20.151.202.062.124
	7000000017	 0012			LMWE	00000000000014276894	20.151.202.062.124
	7000000017	 0013			LMWE	00000000000014276895	20.151.202.062.124
	7000000017	 0014			LMWE	00000000000014276896	20.151.202.062.124
	7000000017	 0015			LMWE	00000000000014276897	20.151.202.062.124
	7000000017	 0016			LMWE	00000000000014276898	20.151.202.062.124
	7000000017	 0017			LMWE	00000000000014276899	20.151.202.062.124
	7000000017	 0018			LMWE	00000000000014276900	20.151.202.062.124
	7000000017	 0019			LMWE	00000000000014276901	20.151.202.062.124
	7000000017	 0020			LMWE	00000000000014276902	20.151.202.062.124
	7000000017	 0021			LMWE	00000000000014276903	20.151.202.062.124
	7000000017	 0022			LMWE	00000000000014276904	20.151.202.062.124
	7000000017	 0023			LMWE	00000000000014276905	20.151.202.062.124
	7000000017	 0024			LMWE	00000000000014276906	20.151.202.062.124
	7000000017	 0025			LMWE	00000000000014276907	20.151.202.062.124
	7000000017	 0026			LMWE	00000000000014276908	20.151.202.062.124
	7000000017	 0027			LMWE	00000000000014276909	20.151.202.062.124
	7000000017	 0028			LMWE	00000000000014276910	20.151.202.062.124
	7000000017	 0029			LMWE	00000000000014276911	20.151.202.062.124
	7000000017	 0030			LMWE	00000000000014276912	20.151.202.062.124
	7000000017	 0031			LMWE	00000000000014276913	20.151.202.062.124
	7000000017	 0032			LMWE	00000000000014276914	20.151.202.062.124
	7000000017	 0033			LMWE	00000000000014276915	20.151.202.062.124
	7000000017	 0034			LMWE	00000000000014276916	20.151.202.062.124
	7000000018	 0001			LMWE	00000000000014277714	20.151.202.070.707
	7000000018	 0002			LMWE	00000000000014277715	20.151.202.070.707
	7000000018	 0003			LMWE	00000000000014277716	20.151.202.070.707
	7000000018	 0004			LMWE	00000000000014277717	20.151.202.070.707
	7000000018	 0005			LMWE	00000000000014277718	20.151.202.070.707
	7000000018	 0006			LMWE	00000000000014277719	20.151.202.070.707
	7000000018	 0007			LMWE	00000000000014277720	20.151.202.070.707
	7000000018	 0008			LMWE	00000000000014277721	20.151.202.070.707
	7000000018	 0009			LMWE	00000000000014277722	20.151.202.070.707
	7000000018	 0010			LMWE	00000000000014277723	20.151.202.070.707
	7000000018	 0011			LMWE	00000000000014277724	20.151.202.070.707
	7000000018	 0012			LMWE	00000000000014277725	20.151.202.070.707
	7000000018	 0013			LMWE	00000000000014277726	20.151.202.070.707
	7000000018	 0014			LMWE	00000000000014277727	20.151.202.070.707
	7000000018	 0015			LMWE	00000000000014277728	20.151.202.070.707
	7000000018	 0016			LMWE	00000000000014277729	20.151.202.070.707
	7000000018	 0017			LMWE	00000000000014277730	20.151.202.070.707
	7000000018	 0018			LMWE	00000000000014277731	20.151.202.070.707
	7000000018	 0019			LMWE	00000000000014277732	20.151.202.070.707
	7000000018	 0020			LMWE	00000000000014277733	20.151.202.070.707
	7000000018	 0021			LMWE	00000000000014277734	20.151.202.070.707
	7000000018	 0022			LMWE	00000000000014277735	20.151.202.070.707
	7000000018	 0023			LMWE	00000000000014277736	20.151.202.070.707
	7000000018	 0024			LMWE	00000000000014277737	20.151.202.070.707
	7000000018	 0025			LMWE	00000000000014277738	20.151.202.070.707
	7000000018	 0026			LMWE	00000000000014277739	20.151.202.070.707
	7000000018	 0027			LMWE	00000000000014277740	20.151.202.070.707
	7000000018	 0028			LMWE	00000000000014277741	20.151.202.070.707
	7000000018	 0029			LMWE	00000000000014277742	20.151.202.070.707
	7000000018	 0030			LMWE	00000000000014277743	20.151.202.070.707
	7000000018	 0031			LMWE	00000000000014277744	20.151.202.070.707
	7000000018	 0032			LMWE	00000000000014277745	20.151.202.070.707
	7000000018	 0033			LMWE	00000000000014277746	20.151.202.070.707
	7000000018	 0034			LMWE	00000000000014277747	20.151.202.070.707
