INDEX,CHNGID,RECORDTP,REQUID,WM_COUNT2,/BIC/G0WM_TU_N,CALWEEK,/BIC/GEWLSTAT,CALDAY,CALMONTH,CALYEAR,WEEKDAY1,WM_MATNR,WM_LICNUM,WM_VLTYP,WM_NLTYP,WM_VLPLA,/BIC/GEWVOND,/BIC/GEWVONZ,/BIC/GEWKPI,WM_NLENR,/BIC/GEWZEITD,/BIC/GEWBISD,/BIC/GEWBISZ,/BIC/GEWERSTAT,RECORD
73,0,0,,1,000000200000000089,201548,,2015-11-25,201511,2015,3,04L103023C,LKW001,,,,2015-11-25,13:56:31,KPI6,00000000000013939322,20151125125631,2015-11-25,13:56:31,,73
74,0,0,,1,000000200000000089,201547,ST70,2015-11-17,201511,2015,2,04L103023C,LKW001,,,,,00:00:00,KPI51,00000000000013939322,0,,00:00:00,3,74
75,0,0,,1,000000200000000014,201547,,2015-11-17,201511,2015,2,04L103373E ROH,,,,,2015-11-17,16:26:55,KPI3,00000000000013939001,20151117153556,2015-11-17,16:35:56,,75
76,0,0,,1,000000200000000014,201547,,2015-11-17,201511,2015,2,04L103373E ROH,,,,,2015-11-17,16:35:56,KPI4,00000000000013939001,20151117154308,2015-11-17,16:43:08,,76
77,0,0,,1,000000200000000014,201547,,2015-11-17,201511,2015,2,04L103373E ROH,,,,,2015-11-17,16:43:08,KPI5,00000000000013939001,20151117154349,2015-11-17,16:43:49,,77
78,0,0,,1,000000200000000026,201548,,2015-11-25,201511,2015,3,03L141018A,LKW-002,,,,2015-11-25,16:38:38,KPI3,00000000000013939428,20151125165723,2015-11-25,17:57:23,,78
79,0,0,,1,000000200000000026,201548,,2015-11-26,201511,2015,4,03L141018A,LKW-002,,,,2015-11-25,17:57:23,KPI4,00000000000013939428,20151126125106,2015-11-26,13:51:06,,79
80,0,0,,1,000000200000000026,201548,,2015-11-26,201511,2015,4,03L141018A,LKW-002,,,,2015-11-26,13:51:06,KPI5,00000000000013939428,20151126125108,2015-11-26,13:51:08,,80
81,0,0,,1,000000200000000467,201617,,2016-04-26,201604,2016,2,04E103404N,LKW001,,,,2015-12-09,13:44:53,KPI3,00000000000013941671,20160426112935,2016-04-26,13:29:35,,81
82,0,0,,1,000000200000000467,201617,,2016-04-26,201604,2016,2,04E103404N,LKW001,,,,2016-04-26,13:29:35,KPI4,00000000000013941671,20160426113030,2016-04-26,13:30:30,,82
83,0,0,,1,000000200000000467,201617,,2016-04-26,201604,2016,2,04E103404N,LKW001,,,,2016-04-26,13:30:30,KPI5,00000000000013941671,20160426113040,2016-04-26,13:30:40,,83
84,0,0,,1,000000200000000555,201618,,2016-05-03,201605,2016,2,04E103404N,LKW5031231,,,,2015-11-27,13:59:33,KPI3,00000000000013946235,20160503103133,2016-05-03,12:31:33,,84
85,0,0,,1,000000200000000555,201618,,2016-05-03,201605,2016,2,04E103404N,LKW5031231,,,,2016-05-03,12:31:33,KPI4,00000000000013946235,20160503103156,2016-05-03,12:31:56,,85
86,0,0,,1,000000200000000555,201618,,2016-05-03,201605,2016,2,04E103404N,LKW5031231,,,,2016-05-03,12:31:56,KPI5,00000000000013946235,20160503103158,2016-05-03,12:31:58,,86
87,0,0,,1,000000200000000467,201617,,2016-04-26,201604,2016,2,04E103404N,LKW001,,,,2015-12-15,13:19:05,KPI3,00000000000013946229,20160426112948,2016-04-26,13:29:48,,87
88,0,0,,1,000000200000000467,201617,,2016-04-26,201604,2016,2,04E103404N,LKW001,,,,2016-04-26,13:29:48,KPI4,00000000000013946229,20160426113033,2016-04-26,13:30:33,,88
89,0,0,,1,000000200000000467,201617,,2016-04-26,201604,2016,2,04E103404N,LKW001,,,,2016-04-26,13:30:33,KPI5,00000000000013946229,20160426113040,2016-04-26,13:30:40,,89
90,0,0,,1,000000200000000467,201617,,2016-04-26,201604,2016,2,04E103404N,LKW001,,,,2015-12-09,11:34:52,KPI3,00000000000013940024,20160426112922,2016-04-26,13:29:22,,90
91,0,0,,1,000000200000000467,201617,,2016-04-26,201604,2016,2,04E103404N,LKW001,,,,2016-04-26,13:29:22,KPI4,00000000000013940024,20160426113026,2016-04-26,13:30:26,,91
92,0,0,,1,000000200000000467,201617,,2016-04-26,201604,2016,2,04E103404N,LKW001,,,,2016-04-26,13:30:26,KPI5,00000000000013940024,20160426113040,2016-04-26,13:30:40,,92
93,0,0,,1,000000200000000296,201609,,2016-03-02,201603,2016,3,04E103404T,LKW3031054,,,,2016-02-09,10:27:37,KPI3,00000000000013940746,20160302211115,2016-03-02,22:11:15,,93
94,0,0,,1,000000200000000296,201609,,2016-03-03,201603,2016,4,04E103404T,LKW3031054,,,,2016-03-02,22:11:15,KPI4,00000000000013940746,20160303095535,2016-03-03,10:55:35,,94
95,0,0,,1,000000200000000296,201609,,2016-03-03,201603,2016,4,04E103404T,LKW3031054,,,,2016-03-03,10:55:35,KPI5,00000000000013940746,20160303095633,2016-03-03,10:56:33,,95
96,0,0,,1,000000200000000314,201607,,2016-02-17,201602,2016,3,04E103404T,LKW001,,,,2016-02-09,11:55:52,KPI3,00000000000013940748,20160217100748,2016-02-17,11:07:48,,96
97,0,0,,1,000000200000000314,201607,,2016-02-19,201602,2016,5,04E103404T,LKW001,,,,2016-02-17,11:07:48,KPI4,00000000000013940748,20160219212622,2016-02-19,22:26:22,,97
98,0,0,,1,000000200000000314,201607,,2016-02-19,201602,2016,5,04E103404T,LKW001,,,,2016-02-19,22:26:22,KPI5,00000000000013940748,20160219212625,2016-02-19,22:26:25,,98
99,0,0,,1,000000200000000289,201609,,2016-03-01,201603,2016,2,04E103404T,LKW3011629,,,,2016-02-09,11:55:52,KPI3,00000000000013941050,20160301071717,2016-03-01,08:17:17,,99
100,0,0,,1,000000200000000289,201609,,2016-03-01,201603,2016,2,04E103404T,LKW3011629,,,,2016-03-01,08:17:17,KPI4,00000000000013941050,20160301152956,2016-03-01,16:29:56,,100
101,0,0,,1,000000200000000289,201609,,2016-03-01,201603,2016,2,04E103404T,LKW3011629,,,,2016-03-01,16:29:56,KPI5,00000000000013941050,20160301153004,2016-03-01,16:30:04,,101
102,0,0,,1,000000200000000026,201548,,2015-11-25,201511,2015,3,059103601CJ,LKW-002,,,,2015-11-25,16:38:40,KPI3,00000000000013939190,20151125165801,2015-11-25,17:58:01,,102
103,0,0,,1,000000200000000026,201548,,2015-11-26,201511,2015,4,059103601CJ,LKW-002,,,,2015-11-25,17:58:01,KPI4,00000000000013939190,20151126125044,2015-11-26,13:50:44,,103
104,0,0,,1,000000200000000026,201548,,2015-11-26,201511,2015,4,059103601CJ,LKW-002,,,,2015-11-26,13:50:44,KPI5,00000000000013939190,20151126125108,2015-11-26,13:51:08,,104
105,0,0,,1,000000200000000026,201548,,2015-11-25,201511,2015,3,059103601CJ,LKW-002,,,,2015-11-25,16:38:40,KPI3,00000000000013939021,20151125165917,2015-11-25,17:59:17,,105
106,0,0,,1,000000200000000026,201548,,2015-11-26,201511,2015,4,059103601CJ,LKW-002,,,,2015-11-25,17:59:17,KPI4,00000000000013939021,20151126125037,2015-11-26,13:50:37,,106
